SODTFUU1462FFD01F8,"Story of My Life","One Direction",ARZHFAY130708EE366,"studio, electric, vocal",3,0.664001,0.169477,121.094,0.055294,0.226265,0,1,4,242.44,-7.672,0.300134,0.576926,,,
SOZVSRS1498E61E0B3,18,"One Direction",ARZHFAY130708EE366,"studio, electric, vocal",6,0.56999,0.117409,124.062,0.030796,0.209822,0,0,4,248.35955,-7.809,0.247629,0.676083,,,
SODDBOJ142B310ECFB,"You & I","One Direction",ARZHFAY130708EE366,"studio, electric, vocal",1,0.356705,0.098879,130.999,0.027429,0.258038,0,1,4,237.93333,-6.778,0.342028,0.570239,,,
SOCIOVI1498E6199D3,"Where Do Broken Hearts Go","One Direction",ARZHFAY130708EE366,"studio, electric, vocal",4,0.862844,0.106117,122.976,0.032779,0.001404,0,1,4,229.1805,-3.792,0.684158,0.561502,,,
SOFAYTC1498E61FFF5,"Girl Almighty","One Direction",ARZHFAY130708EE366,"studio, electric",9,0.898948,0.201366,168.959,0.042413,0.051903,0,1,4,201.85288,-3.784,0.488635,0.506736,,,
SOCFRBN1498BB6A51A,"Ready to Run","One Direction",ARZHFAY130708EE366,"studio, electric, vocal",2,0.820463,0.182438,115.048,0.036639,0.003013,0,1,4,196.20816,-4.311,0.29436,0.521409,,,
SOBFPLS14618702699,"What Makes You Beautiful","One Direction",ARZHFAY130708EE366,"studio, electric, vocal",4,0.81403,0.079196,124.991,0.07244,0.005355,0,1,4,198.25333,-1.985,0.838512,0.70086,,,
SOICEYK148CCFB1060,"Dangerous (feat. Sam Martin)","David Guetta",ARH2QI91187FB3788D,"studio, vocal",4,0.747182,0.106907,92.161,0.079477,0.417449,1.0E-5,0,4,203.64127,-4.838,0.430434,0.465988,,,
SORLHNY139E54982A2,Titanium,"David Guetta",ARH2QI91187FB3788D,"studio, electric, vocal",0,0.431407,0.604478,128.588,0.128209,0.028926,0.07248,0,4,206.68036,-16.309,0.334461,0.585504,,,
SODJCYT13DA07FD924,"Titanium (feat. Sia)","David Guetta",ARH2QI91187FB3788D,"studio, electric, vocal",0,0.823021,0.449903,126.083,0.128795,0.038562,0.207554,0,4,210.74621,-3.575,0.25728,0.589854,,,
SOSYHEO149AC8BBDA4,"Hey Mama (feat. Nicki Minaj & Afrojack)","David Guetta",ARH2QI91187FB3788D,"studio, electric, vocal",9,0.728937,0.434892,172.081,0.213882,0.2475,1.0E-6,1,4,192.55955,-4.138,0.563324,0.509877,,,
SODOECA149AC8B9A0F,"Bang my Head (feat. Sia)","David Guetta",ARH2QI91187FB3788D,"studio, electric, vocal",9,0.773028,0.636172,124.03,0.060268,0.251295,6.0E-6,0,4,233.26621,-3.729,0.399582,0.515873,,,
SOXYDZP146F61F1EEF,"Lovers on the Sun (feat. Sam Martin)","David Guetta",ARH2QI91187FB3788D,"studio, electric, vocal",6,0.873692,0.354942,124.968,0.035309,0.002047,0.000911,0,4,203.03955,-4.533,0.529375,0.624117,,,
SOASZVS143F03B9066,"Shot Me Down","David Guetta",ARH2QI91187FB3788D,"studio, electric, vocal",5,0.771693,0.115156,192.118,0.054882,0.059747,0.033331,0,3,191.41202,-4.359,0.035577,0.346718,,,
SOESSJF147BE8316A9,"Bad - Radio Edit","David Guetta",ARH2QI91187FB3788D,"studio, electric, vocal",5,0.837336,0.050279,127.999,0.048509,0.000252,0.180443,0,4,270.27955,-4.041,0.191204,0.702804,,,
SOJENEM1451A53F33D,"Bad (feat. Vassy) [Radio Edit]","David Guetta",ARH2QI91187FB3788D,"studio, electric, vocal",5,0.972057,0.328185,127.966,0.08799,0.001252,0.018599,0,4,170.62499,-3.927,0.40545,0.61383,,,
SOKJTJN13666C53D69,"Without You","David Guetta",ARH2QI91187FB3788D,"studio, electric, vocal",2,0.608173,0.162905,127.868,0.028219,0.253875,5.0E-6,1,4,208.13288,-3.775,0.44408,0.608232,,,
SOTEKTC1487007268B,"I'm Not The Only One","Sam Smith",ARUZM8A11C8A41519C,"studio, vocal",5,0.498574,0.070956,81.995,0.047795,0.498592,0,1,4,222.32921,-7.123,0.550534,0.716748,,,
SOONGGO1498F6BEBB8,"Stay With Me","Sam Smith",ARUZM8A11C8A41519C,"studio, vocal",0,0.40608,0.103969,84.981,0.038469,0.659543,0.00395,1,4,169.18703,-8.374,0.089825,0.468186,,,
SOPYEZT1462CE844B2,"Money On My Mind","Sam Smith",ARUZM8A11C8A41519C,"studio, electric, vocal",11,0.858116,0.103986,133.938,0.285631,0.272774,5.9E-5,0,4,212.19197,-7.683,0.769609,0.597343,,,
SOOXMHC1463D0B0C2A,"Leave Your Lover","Sam Smith",ARUZM8A11C8A41519C,"acoustic, studio, vocal",4,0.252377,0.104287,92.216,0.049464,0.948284,3.0E-6,1,5,188.37669,-8.793,0.37308,0.417588,,,
SOSALFL141A4A84BA6,"Latch (Acoustic)","Sam Smith",ARUZM8A11C8A41519C,"acoustic, studio, vocal",8,0.296727,0.107295,83.158,0.02785,0.97784,0.005257,1,3,221.04948,-5.417,0.234828,0.454696,,,
SOWCNFD1463D0C3CDA,Restart,"Sam Smith",ARUZM8A11C8A41519C,"studio, electric, vocal",1,0.771774,0.136091,114.98,0.038307,0.050258,0.002557,1,4,232.77914,-6.301,0.888201,0.754378,,,
SOKJEPF1467ACB7401,"Thinking Out Loud","Ed Sheeran",ARSDWSZ122ECCB706A,"studio, vocal",2,0.443006,0.177733,78.987,0.029444,0.494639,0,1,4,281.55955,-6.098,0.547293,0.78029,,,
SOGGPXV146E016939A,Don't,"Ed Sheeran",ARSDWSZ122ECCB706A,"studio, electric, vocal",1,0.611902,0.648703,95.047,0.060421,0.012794,2.0E-6,1,4,219.83955,-7.037,0.867108,0.807036,,,
SOYOCRK148C7D3FB59,Sing,"Ed Sheeran",ARSDWSZ122ECCB706A,"studio, electric, vocal",8,0.553784,0.055955,120.002,0.046144,0.310898,2.0E-6,0,4,241.66667,-7.737,0.956252,0.820615,,,
SODNRZD13A00069C4C,"The A Team","Ed Sheeran",ARSDWSZ122ECCB706A,"studio, vocal",9,0.099896,0.209209,86.731,0.041753,0.645828,0,1,4,252.3424,-20.965,0.395074,0.634535,,,
SODXGXG14517F326AA,"Lego House","Ed Sheeran",ARSDWSZ122ECCB706A,"studio, vocal",11,0.197591,0.188647,162.534,0.338622,0.769121,0,1,4,221.00993,-16.253,0.510133,0.55032,,,
