#songId, title, artist_name, artist_id, song_type, key, energy, liveness, tempo, speechiness, acousticness, instrumentalness, mode, time_signature, duration, loudness, valence, danceability
SOQLBBE1312A8A8C56,Did-Dub-Snop,temnozor,ARNEYQS12472CE2CFA,"remix, studio, electric",4,0.776577,0.132441,79.054,0.048839,0.076527,0.866762,0,4,305.07955,-13.841,0.225437,0.233961
SOMNVGM12D85323510,La capilla blanca,Alberto Podestá,ARCWHMG1187B9A8845,"studio, vocal",7,0.219976,0.106192,172.165,0.038302,0.689532,0.000825,1,4,176.66567,-13.803,0.213494,0.248628
SOCUPFR12A8C14057C,Infinity Sentinel,Wesley Matsell,ARGYNCA12086C16EA0,"studio, vocal",6,0.255284,0.092094,126.029,0.048967,0.645476,0.019236,1,1,126.37288,-15.813,0.032708,0.20642
SOPYQNK12AB0184DC5,När Ljusen Skall Tändas Därhemma,Jan Høiland,ARNFXGG1187FB5621F,"studio, vocal",7,0.268132,0.096356,85.484,0.030049,0.825581,0,1,3,156.02503,-11.277,0.185369,0.243328
SOVNWAW13719FB70A4,"Cello Concerto In E Minor, Op.85 - Allegro",Alexander Briger,AREDNNW1241B9C9754,"acoustic, studio",4,0.083017,0.102211,110.86,0.044215,0.974679,0.835748,0,4,671.84617,-23.175,0.036917,0.234315
SOTOHOZ13152A7575F,Otello: Ave Maria,Renata Tebaldi,ARU8X4I1187B996119,"acoustic, studio, vocal",8,0.145405,0.086606,81.633,0.043065,0.980711,0.004922,1,4,322.16771,-13.542,0.085185,0.234546
SOFYYOT147FA7EC28B,He Bought My Soul at Calvary,Jo Stafford,ARTZ5X61187FB3AFC6,"acoustic, studio, vocal",9,0.118774,0.136005,170.449,0.033253,0.986382,6.00E-06,1,5,164.90621,-11.225,0.387736,0.243273
SOTQIVB14841185BF8,September Song,Tony Bennett,AR4ZNBW1187FB554B8,"acoustic, studio, vocal",5,0.265781,0.333754,168.485,0.03388,0.963055,0.002141,1,5,231.01288,-12.383,0.080004,0.207714
SODJYYV144BFCC66EF,September Song,Tony Bennett,AR4ZNBW1187FB554B8,"acoustic, studio, vocal",5,0.243794,0.23281,171.989,0.036898,0.941449,0.0008,1,5,229.69533,-13.379,0.08582,0.208422
SOLEMJP13167713A84,Violin Concerto No. 3 in B minor Op. 61: II. Andantino quasi allegretto,Maxim Vengerov,ARVQEN81187FB45F94,"acoustic, studio, vocal",10,0.024025,0.098741,110.909,0.046078,0.93185,0.041457,1,3,528.38621,-30.899,0.043365,0.20792
SODWMHL142D19465F5,Nor,Jomi Massage,ARGRF001187B9B9769,"studio, electric",0,0.143378,0.112239,86.366,0.035647,0.002848,0.760518,1,4,89.25705,-24.789,0.158616,0.220146
SOLLRMI141B4EADF7A,Theme From Schindler's List,Stadtmusikkapelle Landeck,ARMNBER14006C83331,"instrumental, acoustic, studio",2,0.243779,0.690428,67.661,0.054889,0.988288,0.947846,0,3,292.55955,-17.392,0.05829,0.20356
SOOPEFR146F9139B98,Gas Can,Trance Farmers,ARSXUPH13CDA3976AA,studio,10,0.877008,0.18822,114.013,0.064808,0.628157,0.887526,0,4,100,-8.874,0.164231,0.220481
SOLIWZD131712D10D8,Hinikoita,Akasau,ARHRZWK11F4C841DF1,"acoustic, studio, vocal",0,0.175872,0.30527,127.518,0.038379,0.971637,0.016222,1,3,367.59755,-16.502,0.041603,0.218535
SOFMNXJ148A969F0FE,"Crazy World (from ""Victor/Victoria"")",Henry Mancini,ARZWPWP1241B9CA793,"instrumental, studio",10,0.167116,0.108782,86.317,0.037118,0.852311,0.921204,1,3,190.82667,-20.266,0.056131,0.22801
SOIMRNZ13D0E4F3952,Children of the Black Dawn,Bloodrain,ARUPSG311C8A41607E,"studio, electric, vocal",4,0.899722,0.334028,94.207,0.121217,0.00706,0.011141,0,4,203.96363,-7.203,0.218652,0.218328
SODOOYW13A7C1411FA,Ocularis Infernum - Tragedies to Come,Blodsrit,ARY56HZ1187B9B7488,"studio, electric, vocal",8,0.980489,0.111979,160.52,0.192881,7.00E-06,0.011656,1,3,266.11955,-6.503,0.03983,0.231182
SOWXCPY13B0C92B9EC,Black Eyed Dog,Catherine A.D.,ARDXJUX11EBCD76F0E,"acoustic, studio, vocal",0,0.173428,0.112573,91.913,0.0326,0.914554,0.007165,1,4,199.74966,-14.085,0.039551,0.218542
SOHERWZ130516DCD75,My wife,Shadowplay,ARQNCJN1187B9AD0D1,"studio, vocal",6,0.868329,0.31286,185.311,0.110036,0.439889,0.00154,1,3,371.09288,-8.341,0.205224,0.205337
SOCXRRM13F6B13D50B,Aqua Mad Max,Leptospirose,ARWJXLN13F2EC8D647,"studio, electric",7,0.994726,0.488553,96.12,0.097704,0.027212,0.768066,1,4,37.0819,0.454,0.165586,0.232947
SOOSMVV1312A8AC640,Cowerleavage,David Kristian,ARNFTZU1187B9B370A,"studio, electric, vocal",1,0.4577,0.236467,157.962,0.051165,0.000961,0.018194,1,5,541.53288,-13.713,0.082173,0.217471
SOKVMBC13C1AE59AB4,I Love You - Live,S.H.E.,ARFCNF41187B993052,"live, electric, vocal",2,0.783977,0.917179,199.936,0.06287,0.302465,0,1,4,332.21288,-6.169,0.172256,0.226464
SOCGWJV13B1B5351AE,Protest,Electro Hippies,AR9JINB1187B989155,"studio, electric",4,0.813925,0.49093,95.186,0.109116,2.00E-06,0.882948,1,4,30.88209,-7.976,0.308828,0.20169
SONZMWP12AF72A3703,Amor Ti Vieta (from 'Feodora'),Mario del Monaco,ARL1KPG1187B9B2C10,"live, vocal",0,0.864929,0.918999,167.304,0.900768,0.793973,0.215272,1,4,200.34621,-11.775,0.515275,0.247258
SORVKXW14640887219,gfd035,jfox,ARWEOQJ11F4C8461F1,"instrumental, studio",1,0.112286,0.117698,77.044,0.162931,0.751293,0.908079,1,4,1441.97288,-27.066,0.065038,0.224519
SOEPSBT13B5106E769,Generations,Slowburn,AROAN311187B9934B6,"studio, electric, vocal",11,0.694482,0.124141,183.765,0.037919,0.000507,5.00E-06,1,3,279.01451,-5.105,0.33887,0.222035
SOBUNGQ12AB017D388,The Majesty Of My Kingdom Afar,Golden Dawn,ARPREJS1187FB3C8BF,"studio, electric",2,0.73324,0.070115,89.983,0.055697,0.002458,0.679873,0,4,430.09288,-7.672,0.110734,0.231952
SOYMBZZ13EE5A324F5,Big Wide World,Teddy Randazzo,ARJ880P1187FB57356,"acoustic, studio, vocal",10,0.291956,0.298739,85.265,0.032295,0.90645,1.30E-05,1,4,169.47048,-12.695,0.415656,0.245775
SOAVZSL12A58A7B7BB,In My Magnificent Circus,October File,ARHWL5J1187B9A0DD9,"studio, electric",0,0.994665,0.217199,96.032,0.106483,1.20E-05,0.724746,1,4,277.30621,-4.65,0.116657,0.222595
SOPYDXF13152A74C7B,Quintetto Carmine,Stormy Six,ARXVTRE1187B9B998D,vocal,8,0.241143,0.799201,82.109,0.080578,0.866768,0.082458,1,3,236.9824,-12.395,0.124047,0.235534
SOHTVTX137403D1A10,Rogativas a Nuestra Señora del Milagro,Joaquín Díaz,ARWWEZ61187FB5C77E,"studio, vocal",10,0.380993,0.364,116.158,0.040433,0.752408,0,1,4,172.91955,-7.645,0.354541,0.232312
SOTIJNY142C513EFDB,Fairies' Secret Garden,Operadyse,ARMOCSD128ABE0EF81,"studio, electric, vocal",11,0.897544,0.110336,154.938,0.154215,0.002698,0.034475,0,4,306.01288,-7.011,0.122888,0.242466
SOGNWQJ13DC4277519,Scoundrel Days,Swahili Blonde,ARKCPJB1269FB381C4,"studio, vocal",7,0.636838,0.081642,155.999,0.031514,0.779593,0.00366,1,4,265.44204,-5.786,0.149394,0.236152
SOLSCPF13134393F02,Sekunden,Swod,ARLY3V91187FB42AA5,"instrumental, acoustic, studio",0,0.139396,0.098546,141.225,0.036071,0.992661,0.948524,1,4,293.02621,-19.512,0.082051,0.227174
SOFMWMD1315CD4FF75,Be My Shade,Jeans Wilder,ARWTMKP128FFBAD666,"instrumental, acoustic, studio",5,0.377899,0.141672,66.905,0.04596,0.990495,0.981362,1,3,178.02404,-12.147,0.468522,0.28542
SOAVDCV12AF72A11F3,Once In Royal David's City,The Christmas Chorale,ARHL71M1187FB59169,"acoustic, studio",6,0.078812,0.122798,70.214,0.040838,0.995242,0.786296,1,1,140.78621,-25.539,0.066305,0.254501
SOGCLRK1313438BB6A,33 Fainting Spells,Orla Wren,ARJZPGX1187FB46AE9,acoustic,0,0.154925,0.718666,111.666,0.04174,0.966019,0.727313,0,4,339.97288,-26.316,0.069946,0.271642
SOTESJE1372EEFD48D,Let's Get Together,Little Trouble Kids,ARNWBID12E597EEFC8,"studio, electric",6,0.984282,0.389262,143.046,0.246973,0.184837,0.412636,1,4,119.07955,-6.644,0.064815,0.265804
SOVTSJY1377169FB61,Zigeunerweisen,Elin Kolev,ARAIIVR132F422DA11,studio,7,0.132247,0.064064,153.275,0.043032,0.811071,0.439953,0,4,509.78621,-21.525,0.074715,0.260655
SOBOBEL12A58A7CFD2,Lonely Boy,The Tradewinds,ARCRLIB1187FB5A86A,"studio, vocal",3,0.612845,0.191081,171.656,0.04763,0.700435,0.000726,1,4,131.44771,-10.16,0.824192,0.253278
SOFAVUZ130516DF7FC,Ta main,Line Renaud,ARJIE2Y1187B994AB7,"studio, vocal",7,0.447606,0.304328,128.497,0.031471,0.842148,0.012103,0,4,142.22621,-5.165,0.1679,0.289789
SOTDDVO12AB0189926,On A Drive,Religious Knives,ARR0HKF11C8A421CFB,"studio, electric, vocal",0,0.586328,0.145868,84.672,0.039178,0.084042,0.338313,0,3,434.81288,-6.373,0.035817,0.252422
SOBZGHI137A4F648FC,Colours (Blackout),indigolab,ARMJJIQ13559201E44,studio,11,0.22228,0.170701,169.971,0.043593,0.881727,0.842434,1,4,409.70404,-22.991,0.35331,0.264282
SOMVDID1319BB31479,Love,Gerard Kenny,ARBHQMB1187B9A17BD,"acoustic, studio, vocal",8,0.129149,0.105503,76.158,0.038861,0.902364,8.00E-06,1,3,233.54621,-12.808,0.063895,0.258552
SOMEWUU148A6810F2F,Touch Back Down - Live At The Spitz,Catherine Feeny,ARQQ3PM1187FB41517,"live, vocal",9,0.441165,0.958663,148.325,0.029705,0.569887,1.00E-06,0,3,287.86621,-8.415,0.096014,0.272239
SOUSWPH1459729526D,Intro,Offpist,ARAYPOT1242077DE3B,"studio, electric",4,0.96052,0.344959,114.776,0.255025,0.001011,0.692852,1,4,145.0424,-6.304,0.289115,0.269724
SOLURNC1311AFDB46B,Glory Girl (Boy George & Kinky Roland's The Free Man In Paris Mix),Amanda Ghost,ARI1ZX61187FB42B51,"remix, studio, electric, vocal",8,0.716233,0.194728,168.396,0.072384,0.009606,0.000122,0,4,259.86621,-7.812,0.332036,0.290905
SOMWPAT1498680CBDB,Tiger,MO'SOME TONEBENDER,ARTJQ1I1187B9A38D9,"studio, electric, vocal",9,0.954468,0.346439,84.955,0.078009,0.028753,0.001506,0,4,207.65605,-4.357,0.137492,0.297235
SOCAZHB137324A53BD,I Need Thee Every Hour; My Jesus I Love Thee,Buddy Greene,AR5EX491187B99B3AF,"acoustic, studio, vocal",7,0.009886,0.07185,86.913,0.041241,0.978311,0.002231,1,4,121.91955,-22.153,0.356499,0.256692
SOBONIG12AC4688F3A,Tribute To Brian Jones,Karl Schmieder,ARMRKGF122988F9760,"tribute, studio, vocal",11,0.553257,0.206455,117.461,0.033088,0.704577,0.026417,0,4,194.95955,-7.104,0.329608,0.267637
SOFZWTX1311AFD71A2,My Soul Magnifies the Lord,Roxann Morin,ARLDXZN12AF7DAD2F6,"studio, vocal",5,0.309812,0.111365,82.376,0.030699,0.687025,0.000346,1,5,228.80717,-9.19,0.139651,0.250456
SOTASXZ13443423606,Myllargutens minne; springar,Kristiane Lund,ARPGAGY12086C16A4B,"acoustic, studio",10,0.015266,0.267485,77.189,0.080959,0.982275,0.538633,1,3,169.97615,-37.29,0.761407,0.277926
SODHEHH12AAF3B2F29,Don't Fake The Punk (Live),Kids Like Us,ARKT4DG1187B9A8C19,"studio, electric, vocal",9,0.915159,0.264258,133.45,0.17451,0.00418,0.071331,1,4,85.17288,-6.082,0.154135,0.283939
SOIGWYJ1462140BB25,Prenez mes fleurettes,Mistinguett,ARLVWAS1187FB5616E,"acoustic, studio, vocal",10,0.501235,0.389944,85.215,0.043624,0.98145,3.00E-06,1,3,188.57288,-4.674,0.594037,0.279887
SODCENL12AF72A75FC,The Return of David Dun,Star Industry,AR52YVG1187B99B2AD,"studio, electric, vocal",7,0.63693,0.680593,180.125,0.035989,0.002681,0.081589,1,4,301.89288,-7.675,0.072661,0.260657
SOMLFOR12AF72A23D1,Letting Go,Eric Durrance,AROHAZP1241B9C5365,"studio, electric, vocal",2,0.490363,0.089356,148.096,0.03135,0.282862,0,1,4,229.12,-6.784,0.244201,0.298162
SOPSMJN1313438958B,Der e ingi dag'e,Lumsk,ARW475W1187B998B0B,"studio, vocal",11,0.194332,0.09686,140.476,0.041104,0.895525,0.126518,0,3,366.78621,-10.868,0.285878,0.26581
SOPSWRW13C1C1A1E91,Prism,Workshop,ARXXI6Y1187B9940B3,"instrumental, studio, electric",10,0.843564,0.111659,86.854,0.113928,0.007916,0.905989,1,5,504.47628,-8.175,0.207342,0.274854
SOSSUOU13E6EA5AED4,I'm Trying Love Again,Sir Joe,ARYFBFJ12B3B354E9C,studio,0,0.673418,0.064793,124.578,0.036859,0.628042,0.611591,1,4,313.99138,-6.198,0.292265,0.255103
SOFNUZI12A58A7B06C,Stay Here With Me,Dick Smart,ARUQREM1257509DF83,"acoustic, studio, vocal",7,0.179827,0.205306,99.106,0.033882,0.926569,0.164161,1,4,157.49016,-15.876,0.251434,0.260164
